瘤痢,瘤痢疙,老矫,扁柯(∑C),浅加(m/s),老荤(MJ/m2),瘤搁柯档(∑C)
156,堡林,2022-01-01 01:00,-4.2,2,,-1.3
156,堡林,2022-01-01 02:00,-4.3,1.6,,-1.4
156,堡林,2022-01-01 03:00,-4.1,2.9,,-1.3
156,堡林,2022-01-01 04:00,-4,3.2,,-1.4
156,堡林,2022-01-01 05:00,-4.7,1.6,,-1.8
156,堡林,2022-01-01 06:00,-4.6,2.9,,-2.1
156,堡林,2022-01-01 07:00,-5.1,1.7,,-2.4
156,堡林,2022-01-01 08:00,-5,.5,.07,-2.6
156,堡林,2022-01-01 09:00,-3.6,1.2,.44,-2.2
156,堡林,2022-01-01 10:00,-2.6,.9,.99,-1.2
156,堡林,2022-01-01 11:00,-.8,1,1.06,-.3
156,堡林,2022-01-01 12:00,1.5,2.3,1.98,.5
156,堡林,2022-01-01 13:00,3.2,1.7,2.18,1.8
156,堡林,2022-01-01 14:00,4.9,.8,2,3.5
156,堡林,2022-01-01 15:00,5,.9,1.43,4.4
156,堡林,2022-01-01 16:00,5,.9,1.18,4.7
156,堡林,2022-01-01 17:00,4.4,1.3,.48,2.4
156,堡林,2022-01-01 18:00,3.7,.8,.1,1.1
156,堡林,2022-01-01 19:00,2.8,.1,,.8
156,堡林,2022-01-01 20:00,2.2,.8,,.6
156,堡林,2022-01-01 21:00,1.5,.5,,.5
156,堡林,2022-01-01 22:00,1,0,,.3
156,堡林,2022-01-01 23:00,0,.7,,0
156,堡林,2022-01-02 00:00,-.4,.2,,-.3
156,堡林,2022-01-02 01:00,-.8,.4,,-.5
156,堡林,2022-01-02 02:00,-1.5,.3,,-.9
156,堡林,2022-01-02 03:00,-2.3,0,,-1.1
156,堡林,2022-01-02 04:00,-2.6,0,,-1.4
156,堡林,2022-01-02 05:00,-2.2,.4,,-1.6
156,堡林,2022-01-02 06:00,-3.1,.4,,-1.7
156,堡林,2022-01-02 07:00,-3.2,.1,,-1.1
156,堡林,2022-01-02 08:00,-2.5,.2,.06,-1
156,堡林,2022-01-02 09:00,-1.6,.2,.25,-.5
156,堡林,2022-01-02 10:00,-.3,.8,.5,-.1
156,堡林,2022-01-02 11:00,1,.5,.99,.1
156,堡林,2022-01-02 12:00,2.2,.4,.76,.8
156,堡林,2022-01-02 13:00,4.3,.3,1.36,2.1
156,堡林,2022-01-02 14:00,5.7,.9,1.06,4.9
156,堡林,2022-01-02 15:00,6.5,1.2,.9,6.1
156,堡林,2022-01-02 16:00,5.9,2.3,1.03,5.8
156,堡林,2022-01-02 17:00,4.7,1.2,.43,3
156,堡林,2022-01-02 18:00,3.5,1,.09,1
156,堡林,2022-01-02 19:00,1.8,.5,,.8
156,堡林,2022-01-02 20:00,2.1,1.1,,.5
156,堡林,2022-01-02 21:00,.9,1.1,,.1
156,堡林,2022-01-02 22:00,.1,1.3,,-.2
156,堡林,2022-01-02 23:00,-.2,.1,,-.7
156,堡林,2022-01-03 00:00,-.7,0,,-.9
156,堡林,2022-01-03 01:00,-1.9,1.5,,-1.2
156,堡林,2022-01-03 02:00,-1.8,.4,,-1.6
156,堡林,2022-01-03 03:00,-2.9,1.1,,-1.9
156,堡林,2022-01-03 04:00,-3.2,.2,,-2.2
156,堡林,2022-01-03 05:00,-3.7,0,,-2.5
156,堡林,2022-01-03 06:00,-3.9,0,,-2.8
156,堡林,2022-01-03 07:00,-3.8,.1,,-3.1
156,堡林,2022-01-03 08:00,-4.2,.3,.07,-3.3
156,堡林,2022-01-03 09:00,-3.3,1,.6,-2.7
156,堡林,2022-01-03 10:00,-1.3,.8,1.38,-1.3
156,堡林,2022-01-03 11:00,1,.6,1.79,-.1
156,堡林,2022-01-03 12:00,3.2,1.1,1.99,.8
156,堡林,2022-01-03 13:00,5.4,1.7,2.11,2.6
156,堡林,2022-01-03 14:00,6.2,.9,1.94,4.7
156,堡林,2022-01-03 15:00,6.3,1.2,1.61,5.6
156,堡林,2022-01-03 16:00,5.9,1.2,1.1,4.8
156,堡林,2022-01-03 17:00,4.9,1,.5,2.4
156,堡林,2022-01-03 18:00,3.3,1.8,.09,1.1
156,堡林,2022-01-03 19:00,2,1.4,,.7
156,堡林,2022-01-03 20:00,1.2,1,,.3
156,堡林,2022-01-03 21:00,1.1,.2,,0
156,堡林,2022-01-03 22:00,.7,.4,,-.2
156,堡林,2022-01-03 23:00,.3,.1,,-.4
156,堡林,2022-01-04 00:00,-.3,.6,,-.7
156,堡林,2022-01-04 01:00,-1,1.2,,-.5
156,堡林,2022-01-04 02:00,-1,1.3,,-.5
156,堡林,2022-01-04 03:00,-.4,0,,-.4
156,堡林,2022-01-04 04:00,0,.1,,-.2
156,堡林,2022-01-04 05:00,.1,.1,,-.1
156,堡林,2022-01-04 06:00,.5,.1,,-.2
156,堡林,2022-01-04 07:00,.1,.9,,-.2
156,堡林,2022-01-04 08:00,-.5,0,.07,-.7
156,堡林,2022-01-04 09:00,.7,1.1,.32,-.3
156,堡林,2022-01-04 10:00,3.2,.3,.85,-.1
156,堡林,2022-01-04 11:00,4.2,1,1.41,.3
156,堡林,2022-01-04 12:00,5.5,3.1,1.89,2.2
156,堡林,2022-01-04 13:00,6.1,1.3,2.11,5.9
156,堡林,2022-01-04 14:00,6.3,2,2.07,7.9
156,堡林,2022-01-04 15:00,6.6,1.2,1.73,8.2
156,堡林,2022-01-04 16:00,6,1.3,1.2,6.2
156,堡林,2022-01-04 17:00,4.9,1.6,.59,3.2
156,堡林,2022-01-04 18:00,3,2.4,.1,1
156,堡林,2022-01-04 19:00,1.8,1.4,,.9
156,堡林,2022-01-04 20:00,.7,.9,,.7
156,堡林,2022-01-04 21:00,.4,1.1,,.5
156,堡林,2022-01-04 22:00,.3,.8,,.4
156,堡林,2022-01-04 23:00,0,1.8,,.2
156,堡林,2022-01-05 00:00,-.1,1.7,,.1
156,堡林,2022-01-05 01:00,-.5,2.4,,.1
156,堡林,2022-01-05 02:00,-.5,2.9,,0
156,堡林,2022-01-05 03:00,-.6,1.7,,-.1
156,堡林,2022-01-05 04:00,-.5,1.9,,-.1
156,堡林,2022-01-05 05:00,-.4,1,,-.1
156,堡林,2022-01-05 06:00,-.3,1.3,,-.1
156,堡林,2022-01-05 07:00,-.3,1.1,,-.1
156,堡林,2022-01-05 08:00,-.4,1.8,.07,-.1
156,堡林,2022-01-05 09:00,.1,.6,.14,0
156,堡林,2022-01-05 10:00,.8,1.1,.27,.1
156,堡林,2022-01-05 11:00,1.7,.5,.55,.3
156,堡林,2022-01-05 12:00,2.7,1,1.02,2.5
156,堡林,2022-01-05 13:00,4.1,1.2,.97,5.2
156,堡林,2022-01-05 14:00,4.4,.6,.64,5.3
156,堡林,2022-01-05 15:00,4.5,1.1,.41,4.9
156,堡林,2022-01-05 16:00,4.6,.1,.24,4.3
156,堡林,2022-01-05 17:00,4.4,.2,.15,3.7
156,堡林,2022-01-05 18:00,4.3,0,.07,3
156,堡林,2022-01-05 19:00,4.5,.8,,2.6
156,堡林,2022-01-05 20:00,4.4,.4,,2.4
156,堡林,2022-01-05 21:00,3.9,.5,,2.2
156,堡林,2022-01-05 22:00,3.6,.9,,2.2
156,堡林,2022-01-05 23:00,3.6,.7,,2.1
156,堡林,2022-01-06 00:00,3,.1,,2
156,堡林,2022-01-06 01:00,2.5,.6,,1.9
156,堡林,2022-01-06 02:00,2.4,.3,,1.8
156,堡林,2022-01-06 03:00,2.9,1.1,,1.4
156,堡林,2022-01-06 04:00,1.7,.7,,.8
156,堡林,2022-01-06 05:00,1.2,.1,,.7
156,堡林,2022-01-06 06:00,.2,1.9,,.1
156,堡林,2022-01-06 07:00,-.3,.6,,-.3
156,堡林,2022-01-06 08:00,-.1,.5,.06,-.5
156,堡林,2022-01-06 09:00,.9,.1,.41,-.5
156,堡林,2022-01-06 10:00,2.5,1.8,1.03,-.1
156,堡林,2022-01-06 11:00,4,1.2,1.59,.4
156,堡林,2022-01-06 12:00,5.1,1.6,1.96,3.8
156,堡林,2022-01-06 13:00,6.2,2.7,2.14,7.1
156,堡林,2022-01-06 14:00,6.5,2.6,2.06,8.7
156,堡林,2022-01-06 15:00,6.3,1.9,1.78,8.8
156,堡林,2022-01-06 16:00,5.9,2.2,1.24,7.1
156,堡林,2022-01-06 17:00,5.1,1.3,.6,4
156,堡林,2022-01-06 18:00,3.4,1.5,.11,1.6
156,堡林,2022-01-06 19:00,2.2,1,,1
156,堡林,2022-01-06 20:00,1.1,.9,,.4
156,堡林,2022-01-06 21:00,.7,1.4,,0
156,堡林,2022-01-06 22:00,.1,1.7,,-.3
156,堡林,2022-01-06 23:00,-.4,2,,-.7
156,堡林,2022-01-07 00:00,-.4,1,,-.9
156,堡林,2022-01-07 01:00,-.9,.4,,-1.2
156,堡林,2022-01-07 02:00,-1.7,.7,,-1.4
156,堡林,2022-01-07 03:00,-1.6,.9,,-1.7
156,堡林,2022-01-07 04:00,-2.4,0,,-2
156,堡林,2022-01-07 05:00,-2.6,0,,-2.3
156,堡林,2022-01-07 06:00,-3.4,.1,,-2.6
156,堡林,2022-01-07 07:00,-4.2,0,,-3
156,堡林,2022-01-07 08:00,-4,.4,.06,-3.2
156,堡林,2022-01-07 09:00,-2.4,.4,.53,-2.6
156,堡林,2022-01-07 10:00,-.6,.4,1.24,-1.2
156,堡林,2022-01-07 11:00,1.2,.9,1.64,0
156,堡林,2022-01-07 12:00,3.2,1.3,2.01,1.4
156,堡林,2022-01-07 13:00,4.7,1.5,2.18,3.7
156,堡林,2022-01-07 14:00,7.1,.9,2.08,6
156,堡林,2022-01-07 15:00,8.1,1.9,1.74,7.4
156,堡林,2022-01-07 16:00,7.3,1.1,1.24,6
156,堡林,2022-01-07 17:00,5.7,.7,.57,2.7
156,堡林,2022-01-07 18:00,3.7,1.3,.09,1
156,堡林,2022-01-07 19:00,2.3,.7,,.3
156,堡林,2022-01-07 20:00,1.2,.4,,-.2
156,堡林,2022-01-07 21:00,.6,.6,,-.5
156,堡林,2022-01-07 22:00,-.1,0,,-.9
156,堡林,2022-01-07 23:00,-.3,.5,,-1.2
156,堡林,2022-01-08 00:00,-.9,.9,,-1.5
156,堡林,2022-01-08 01:00,-1.8,0,,-1.8
156,堡林,2022-01-08 02:00,-1.9,.5,,-2.1
156,堡林,2022-01-08 03:00,-2.5,0,,-2.4
156,堡林,2022-01-08 04:00,-3,0,,-2.7
156,堡林,2022-01-08 05:00,-3.8,.1,,-3
156,堡林,2022-01-08 06:00,-4,.1,,-3.3
156,堡林,2022-01-08 07:00,-4.4,.4,,-3.5
156,堡林,2022-01-08 08:00,-4.3,.2,.07,-3.5
156,堡林,2022-01-08 09:00,-2.9,.1,.41,-2.8
156,堡林,2022-01-08 10:00,-.9,.7,1.05,-1.3
156,堡林,2022-01-08 11:00,1.8,1,1.59,.1
156,堡林,2022-01-08 12:00,4.9,.5,1.95,1.5
156,堡林,2022-01-08 13:00,5.5,.8,2.1,3.9
156,堡林,2022-01-08 14:00,7.3,1.6,2,6.2
156,堡林,2022-01-08 15:00,8,1.1,1.71,7.1
156,堡林,2022-01-08 16:00,7.5,1.5,1.16,6.1
156,堡林,2022-01-08 17:00,6.1,1.3,.54,3.4
156,堡林,2022-01-08 18:00,4.7,.7,.11,1.4
156,堡林,2022-01-08 19:00,3.3,1.2,,.7
156,堡林,2022-01-08 20:00,2.8,1.2,,.3
156,堡林,2022-01-08 21:00,3.1,0,,.1
156,堡林,2022-01-08 22:00,2.4,0,,.1
156,堡林,2022-01-08 23:00,2.4,0,,.1
156,堡林,2022-01-09 00:00,1.9,.6,,0
156,堡林,2022-01-09 01:00,1.4,.1,,-.1
156,堡林,2022-01-09 02:00,1.7,0,,.1
156,堡林,2022-01-09 03:00,1.6,0,,.1
156,堡林,2022-01-09 04:00,1.8,0,,.2
156,堡林,2022-01-09 05:00,1.7,0,,.2
156,堡林,2022-01-09 06:00,1.2,.1,,.2
156,堡林,2022-01-09 07:00,.9,.8,,0
156,堡林,2022-01-09 08:00,.7,.2,.07,-.1
156,堡林,2022-01-09 09:00,1.2,.1,.16,.1
156,堡林,2022-01-09 10:00,2.5,.1,.45,.9
156,堡林,2022-01-09 11:00,4.7,.9,1.24,3.9
156,堡林,2022-01-09 12:00,6.8,.7,1.7,8.4
156,堡林,2022-01-09 13:00,8.2,1.3,1.77,10.3
156,堡林,2022-01-09 14:00,8.4,1.1,1.24,9.7
156,堡林,2022-01-09 15:00,8.2,1.5,1.49,11
156,堡林,2022-01-09 16:00,6.8,1.2,.86,8.5
156,堡林,2022-01-09 17:00,5.7,1.1,.41,5.6
156,堡林,2022-01-09 18:00,4.8,.4,.11,3.3
156,堡林,2022-01-09 19:00,3.4,1.7,,1.3
156,堡林,2022-01-09 20:00,2.7,0,,.8
156,堡林,2022-01-09 21:00,1.9,.8,,.3
156,堡林,2022-01-09 22:00,1.4,1.2,,0
156,堡林,2022-01-09 23:00,.7,1.1,,-.3
156,堡林,2022-01-10 00:00,.4,.5,,-.5
156,堡林,2022-01-10 01:00,.2,.2,,-.7
156,堡林,2022-01-10 02:00,-.4,.1,,-.9
156,堡林,2022-01-10 03:00,-1,.7,,-1.1
156,堡林,2022-01-10 04:00,-1.3,0,,-1.3
156,堡林,2022-01-10 05:00,-1.4,.1,,-1.4
156,堡林,2022-01-10 06:00,-1.9,.1,,-1.5
156,堡林,2022-01-10 07:00,-1.9,0,,-1.7
156,堡林,2022-01-10 08:00,-2,.4,.07,-1.7
156,堡林,2022-01-10 09:00,-.8,0,.38,-.5
156,堡林,2022-01-10 10:00,.7,.4,.86,-.2
156,堡林,2022-01-10 11:00,2,.6,1.39,.5
156,堡林,2022-01-10 12:00,4.6,1,1.77,2.5
156,堡林,2022-01-10 13:00,6.3,.9,1.93,6.6
156,堡林,2022-01-10 14:00,8.5,1.8,1.86,9.6
156,堡林,2022-01-10 15:00,9.4,2,1.54,9.9
156,堡林,2022-01-10 16:00,8.9,1.2,1.08,8
156,堡林,2022-01-10 17:00,6.2,1.9,.43,5
156,堡林,2022-01-10 18:00,5.3,1,.1,3.4
156,堡林,2022-01-10 19:00,4.5,.7,,2.6
156,堡林,2022-01-10 20:00,4,.7,,2.2
156,堡林,2022-01-10 21:00,3.6,.6,,1.7
156,堡林,2022-01-10 22:00,3.1,0,,1.5
156,堡林,2022-01-10 23:00,3.1,0,,1.3
156,堡林,2022-01-11 00:00,3,.8,,1.3
156,堡林,2022-01-11 01:00,2.8,1.1,,1.3
156,堡林,2022-01-11 02:00,2.3,.8,,1.5
156,堡林,2022-01-11 03:00,1.3,1,,1.7
156,堡林,2022-01-11 04:00,1.8,2.8,,1.4
156,堡林,2022-01-11 05:00,.9,2.7,,1.1
156,堡林,2022-01-11 06:00,-.1,1.5,,.9
156,堡林,2022-01-11 07:00,-1.1,1.1,,1.2
156,堡林,2022-01-11 08:00,-1.5,2.2,.06,1.2
156,堡林,2022-01-11 09:00,-2.3,2.6,.19,1.3
156,堡林,2022-01-11 10:00,-1.4,2.9,.93,1.3
156,堡林,2022-01-11 11:00,-1.1,3.3,1.39,1.8
156,堡林,2022-01-11 12:00,-1.1,2.7,1.48,4.3
156,堡林,2022-01-11 13:00,-.8,2.5,1.51,6.1
156,堡林,2022-01-11 14:00,-1.8,2.1,.79,4.7
156,堡林,2022-01-11 15:00,-2,3.5,.75,3.7
156,堡林,2022-01-11 16:00,-1.9,2.8,.81,3.2
156,堡林,2022-01-11 17:00,-2.4,1.6,.22,1.6
156,堡林,2022-01-11 18:00,-2.8,1.7,.09,.9
156,堡林,2022-01-11 19:00,-2.9,1.3,,.7
156,堡林,2022-01-11 20:00,-2.6,.9,,.5
156,堡林,2022-01-11 21:00,-3,2.6,,.3
156,堡林,2022-01-11 22:00,-3.1,1.5,,0
156,堡林,2022-01-11 23:00,-3.3,1.1,,-.3
156,堡林,2022-01-12 00:00,-3.2,1.6,,-.3
156,堡林,2022-01-12 01:00,-2.9,3.2,,-.5
156,堡林,2022-01-12 02:00,-3.4,2.7,,-.8
156,堡林,2022-01-12 03:00,-4.3,3.4,,-.8
156,堡林,2022-01-12 04:00,-4.4,2.9,,-.9
156,堡林,2022-01-12 05:00,-5.2,2.3,,-1.3
156,堡林,2022-01-12 06:00,-5.6,2.9,,-1.8
156,堡林,2022-01-12 07:00,-5.4,2.3,,-2
156,堡林,2022-01-12 08:00,-5.4,1.9,.07,-2.1
156,堡林,2022-01-12 09:00,-4.3,2.4,.35,-1.9
156,堡林,2022-01-12 10:00,-2.5,1,1.08,-1.1
156,堡林,2022-01-12 11:00,-.9,1.2,1.64,0
156,堡林,2022-01-12 12:00,-.6,1,1.46,.3
156,堡林,2022-01-12 13:00,-.4,2,1.46,.7
156,堡林,2022-01-12 14:00,0,1.5,.89,1.5
156,堡林,2022-01-12 15:00,.1,1.6,1.1,2.3
156,堡林,2022-01-12 16:00,.8,2.2,.93,3.4
156,堡林,2022-01-12 17:00,.2,2,.66,1.5
156,堡林,2022-01-12 18:00,-.7,1.5,.12,.1
156,堡林,2022-01-12 19:00,-1.1,.9,,-.2
156,堡林,2022-01-12 20:00,-1.5,1.5,,-.7
156,堡林,2022-01-12 21:00,-2,1.9,,-1
156,堡林,2022-01-12 22:00,-2.3,2.1,,-1.3
156,堡林,2022-01-12 23:00,-2.4,.9,,-1.3
156,堡林,2022-01-13 00:00,-2.8,1.8,,-1.5
156,堡林,2022-01-13 01:00,-2.9,1.2,,-1.8
156,堡林,2022-01-13 02:00,-2.9,1.2,,-1.9
156,堡林,2022-01-13 03:00,-3.1,1.1,,-1.5
156,堡林,2022-01-13 04:00,-2.8,1.9,,-1.1
156,堡林,2022-01-13 05:00,-3.5,1,,-2
156,堡林,2022-01-13 06:00,-3.8,.2,,-2.5
156,堡林,2022-01-13 07:00,-3.3,.5,,-1.4
156,堡林,2022-01-13 08:00,-3.2,.7,.06,-1.3
156,堡林,2022-01-13 09:00,-3.4,3.3,.12,-1.1
156,堡林,2022-01-13 10:00,-2.6,2.4,.42,-.8
156,堡林,2022-01-13 11:00,-.7,2.4,1.44,.2
156,堡林,2022-01-13 12:00,-1.7,2.6,.9,.4
156,堡林,2022-01-13 13:00,-2.3,2.4,.87,.2
156,堡林,2022-01-13 14:00,-.6,.6,1.2,2.5
156,堡林,2022-01-13 15:00,-.9,3.9,.56,.5
156,堡林,2022-01-13 16:00,-.7,3.3,.47,.3
156,堡林,2022-01-13 17:00,-1.5,3,.26,.1
156,堡林,2022-01-13 18:00,-2.1,1.8,.08,.1
156,堡林,2022-01-13 19:00,-2,2.7,,.1
156,堡林,2022-01-13 20:00,-2,2.2,,0
156,堡林,2022-01-13 21:00,-2.1,1.8,,0
156,堡林,2022-01-13 22:00,-2.3,.8,,0
156,堡林,2022-01-13 23:00,-2.4,1.3,,0
156,堡林,2022-01-14 00:00,-2.6,1.3,,-.3
156,堡林,2022-01-14 01:00,-2.8,2,,-.4
156,堡林,2022-01-14 02:00,-2.8,3.6,,-.5
156,堡林,2022-01-14 03:00,-3.9,2.2,,-1.1
156,堡林,2022-01-14 04:00,-4.3,3.5,,-1.4
156,堡林,2022-01-14 05:00,-4.3,3.3,,-1.5
156,堡林,2022-01-14 06:00,-4.3,1.9,,-1.7
156,堡林,2022-01-14 07:00,-4.5,1.6,,-2.2
156,堡林,2022-01-14 08:00,-4.9,1.6,.07,-2.6
156,堡林,2022-01-14 09:00,-3.3,1.5,.43,-2.3
156,堡林,2022-01-14 10:00,-1.7,2.4,1.12,-1.2
156,堡林,2022-01-14 11:00,0,1.2,1.66,0
156,堡林,2022-01-14 12:00,1.1,1.7,2.04,1.4
156,堡林,2022-01-14 13:00,2.9,1.1,2.24,3.7
156,堡林,2022-01-14 14:00,3.6,2.9,2.19,6.3
156,堡林,2022-01-14 15:00,4.2,2.2,1.9,7.1
156,堡林,2022-01-14 16:00,4.2,2.1,1.36,5.1
156,堡林,2022-01-14 17:00,3,.7,.6,2.1
156,堡林,2022-01-14 18:00,1.1,.7,.11,.5
156,堡林,2022-01-14 19:00,.4,.5,,0
156,堡林,2022-01-14 20:00,-.1,1.6,,-.4
156,堡林,2022-01-14 21:00,-.8,.5,,-.9
156,堡林,2022-01-14 22:00,-1.2,.3,,-1.1
156,堡林,2022-01-14 23:00,-.8,.3,,-.9
156,堡林,2022-01-15 00:00,-1.1,.1,,-.9
156,堡林,2022-01-15 01:00,-1.1,1.4,,-.9
156,堡林,2022-01-15 02:00,-1.1,.8,,-.8
156,堡林,2022-01-15 03:00,-1.5,.1,,-.8
156,堡林,2022-01-15 04:00,-1.8,.5,,-1
156,堡林,2022-01-15 05:00,-1.9,.1,,-1.2
156,堡林,2022-01-15 06:00,-2.5,.6,,-1.6
156,堡林,2022-01-15 07:00,-2.4,.2,,-1.8
156,堡林,2022-01-15 08:00,-2.3,0,.08,-1.6
156,堡林,2022-01-15 09:00,-1,.2,.42,-1.1
156,堡林,2022-01-15 10:00,.3,1.1,.88,.1
156,堡林,2022-01-15 11:00,1.4,.4,1.07,.7
156,堡林,2022-01-15 12:00,4.1,1.4,1.71,2.7
156,堡林,2022-01-15 13:00,6,1.2,2.1,6.5
156,堡林,2022-01-15 14:00,5.8,1.2,1.19,7.9
156,堡林,2022-01-15 15:00,6.2,1.2,.74,7.1
156,堡林,2022-01-15 16:00,7.6,.8,.87,8.3
156,堡林,2022-01-15 17:00,7.1,.2,.63,5.6
156,堡林,2022-01-15 18:00,6,.6,.12,3.4
156,堡林,2022-01-15 19:00,6,0,,3.2
156,堡林,2022-01-15 20:00,4.4,1,,.9
156,堡林,2022-01-15 21:00,3.3,.9,,.3
156,堡林,2022-01-15 22:00,3,0,,.4
156,堡林,2022-01-15 23:00,2.9,.8,,.3
156,堡林,2022-01-16 00:00,2.6,0,,.4
156,堡林,2022-01-16 01:00,2.5,.1,,.5
156,堡林,2022-01-16 02:00,2.7,.1,,.6
156,堡林,2022-01-16 03:00,2.5,0,,.9
156,堡林,2022-01-16 04:00,2.5,.2,,1
156,堡林,2022-01-16 05:00,1.9,.2,,1.5
156,堡林,2022-01-16 06:00,2.2,0,,1.7
156,堡林,2022-01-16 07:00,2,1,,.5
156,堡林,2022-01-16 08:00,2.5,.5,.06,.5
156,堡林,2022-01-16 09:00,3.4,1.1,.22,1.8
156,堡林,2022-01-16 10:00,3.5,1.8,.52,3.2
156,堡林,2022-01-16 11:00,3.4,2.8,.69,4.8
156,堡林,2022-01-16 12:00,5,2,1.67,8.8
156,堡林,2022-01-16 13:00,5,2.1,2.65,12.3
156,堡林,2022-01-16 14:00,4.5,2.8,2.33,13.4
156,堡林,2022-01-16 15:00,2.7,2.8,1.8,10.6
156,堡林,2022-01-16 16:00,2,3.1,.79,7.1
156,堡林,2022-01-16 17:00,1.2,3.4,.45,4.5
156,堡林,2022-01-16 18:00,.5,1.6,.1,1.4
156,堡林,2022-01-16 19:00,.1,2.5,,0
156,堡林,2022-01-16 20:00,-.3,1.7,,0
156,堡林,2022-01-16 21:00,-.4,1.5,,-.3
156,堡林,2022-01-16 22:00,-.7,1.5,,-.4
156,堡林,2022-01-16 23:00,-.6,1.3,,-.5
156,堡林,2022-01-17 00:00,-.9,2.2,,-.9
156,堡林,2022-01-17 01:00,-.8,1.8,,-.9
156,堡林,2022-01-17 02:00,-.9,1.8,,-1
156,堡林,2022-01-17 03:00,-1.6,1.3,,-1.3
156,堡林,2022-01-17 04:00,-2.3,2.4,,-1.6
156,堡林,2022-01-17 05:00,-2.4,1.7,,-1.5
156,堡林,2022-01-17 06:00,-2.5,1.9,,-1.5
156,堡林,2022-01-17 07:00,-2.8,2.2,,-1.7
156,堡林,2022-01-17 08:00,-2.6,2.1,.07,-1.9
156,堡林,2022-01-17 09:00,-1.8,1.6,.27,-1
156,堡林,2022-01-17 10:00,-.5,1.2,.74,-.1
156,堡林,2022-01-17 11:00,.3,.9,1.27,1.1
156,堡林,2022-01-17 12:00,1.8,1.6,1.61,2.7
156,堡林,2022-01-17 13:00,2.2,1.5,1.62,5.3
156,堡林,2022-01-17 14:00,3.2,1.8,1.15,7
156,堡林,2022-01-17 15:00,3.3,2.2,1.36,8.5
156,堡林,2022-01-17 16:00,3.5,2.2,.89,6.7
156,堡林,2022-01-17 17:00,2.1,1.9,.3,4.3
156,堡林,2022-01-17 18:00,2.6,1.4,.1,1.7
156,堡林,2022-01-17 19:00,2.8,2.1,,.6
156,堡林,2022-01-17 20:00,2.4,1.9,,1
156,堡林,2022-01-17 21:00,1.9,2.7,,.4
156,堡林,2022-01-17 22:00,1.1,1.4,,.1
156,堡林,2022-01-17 23:00,-.2,2.1,,.2
156,堡林,2022-01-18 00:00,-.8,2.4,,-.1
156,堡林,2022-01-18 01:00,-1.6,3.6,,-.7
156,堡林,2022-01-18 02:00,-2.3,3.3,,-1.2
156,堡林,2022-01-18 03:00,-2.8,2.6,,-1.6
156,堡林,2022-01-18 04:00,-3.7,2.1,,-2.1
156,堡林,2022-01-18 05:00,-4.5,1.6,,-2.6
156,堡林,2022-01-18 06:00,-5.1,3.2,,-3
156,堡林,2022-01-18 07:00,-5.4,3,,-3.4
156,堡林,2022-01-18 08:00,-5.5,2.2,.07,-3.6
156,堡林,2022-01-18 09:00,-3.9,2.1,.46,-3.1
156,堡林,2022-01-18 10:00,-2.4,2.1,1.17,-1.4
156,堡林,2022-01-18 11:00,-.5,1.8,1.73,.3
156,堡林,2022-01-18 12:00,1.4,2.8,2.13,2.2
156,堡林,2022-01-18 13:00,3.1,3.3,2.32,5.1
156,堡林,2022-01-18 14:00,3.5,3.6,2.24,7.7
156,堡林,2022-01-18 15:00,3.8,2.8,1.93,8.4
156,堡林,2022-01-18 16:00,3.9,2.4,1.43,6.4
156,堡林,2022-01-18 17:00,3.1,2.5,.78,2.7
156,堡林,2022-01-18 18:00,1,1.1,.18,.3
156,堡林,2022-01-18 19:00,-.3,1.6,,-.4
156,堡林,2022-01-18 20:00,-1,.5,,-1.1
156,堡林,2022-01-18 21:00,-1.4,.5,,-1.5
156,堡林,2022-01-18 22:00,-1.9,2.1,,-1.8
156,堡林,2022-01-18 23:00,-2.5,1.7,,-2.3
156,堡林,2022-01-19 00:00,-3.4,1.7,,-2.7
156,堡林,2022-01-19 01:00,-3.2,1,,-3
156,堡林,2022-01-19 02:00,-3.5,1.2,,-3.4
156,堡林,2022-01-19 03:00,-4.1,1.2,,-3.7
156,堡林,2022-01-19 04:00,-4.7,.3,,-4.1
156,堡林,2022-01-19 05:00,-5.1,.8,,-4.3
156,堡林,2022-01-19 06:00,-5.4,0,,-4.6
156,堡林,2022-01-19 07:00,-6,.6,,-4.8
156,堡林,2022-01-19 08:00,-6.1,0,.07,-4.7
156,堡林,2022-01-19 09:00,-4.5,0,.38,-3.4
156,堡林,2022-01-19 10:00,-2.6,.8,.98,-1.4
156,堡林,2022-01-19 11:00,.1,1.1,1.53,.4
156,堡林,2022-01-19 12:00,2.7,1.1,1.9,2.4
156,堡林,2022-01-19 13:00,4.3,.7,2.11,5.7
156,堡林,2022-01-19 14:00,5.6,1.3,2.06,7.9
156,堡林,2022-01-19 15:00,6.7,2.6,1.78,8.5
156,堡林,2022-01-19 16:00,6.3,2,1.07,7
156,堡林,2022-01-19 17:00,4.5,2.6,.44,4.7
156,堡林,2022-01-19 18:00,2.6,1.9,.09,3.2
156,堡林,2022-01-19 19:00,2,1.1,,2.2
156,堡林,2022-01-19 20:00,1.6,2.9,,1.3
156,堡林,2022-01-19 21:00,1.2,1.2,,1.1
156,堡林,2022-01-19 22:00,.8,1.4,,.9
156,堡林,2022-01-19 23:00,.7,1.5,,.6
156,堡林,2022-01-20 00:00,-.2,2,,.3
156,堡林,2022-01-20 01:00,-1.3,3.6,,-.1
156,堡林,2022-01-20 02:00,-2.5,2.9,,-.8
